"names","filter"
"rna.319",0.374729722469359
"rna.350",0.374729722469359
"rna.354",0.374729722469359
"rna.356",0.374729722469359
"rna.370",0.374729722469359
"rna.373",0.374729722469359
"rna.408",0.374729722469359
"rna.414",0.374729722469359
"rna.429",0.374729722469359
"rna.435",0.374729722469359
"rna.444",0.374729722469359
"rna.459",0.374729722469359
"rna.460",0.374729722469359
"rna.468",0.374729722469359
"rna.491",0.374729722469359
"rna.497",0.374729722469359
"rna.518",0.374729722469359
"rna.523",0.374729722469359
"rna.558",0.374729722469359
"rna.559",0.374729722469359
"rna.566",0.374729722469359
"rna.595",0.374729722469359
"rna.596",0.374729722469359
"rna.599",0.374729722469359
"rna.601",0.374729722469359
"rna.627",0.374729722469359
"rna.628",0.374729722469359
"rna.644",0.374729722469359
