"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","Class"
" 0.846211341"," 0.2396410591"," 0.5691348238","-0.012161223"," 1.751557445","-0.523037788","-0.897789403","-0.3954442168"," 1.0466964612"," 0.61078859578"," 0.4744109267"," 0.5726208967"," 0.2049545659","-0.05450735784","-0.6728448400","-0.096086886","-0.1577261227"," 0.1969024906"," 0.2676551788","-0.2013398712"," 0.25533705318"," 0.30055911083"," 0.01619344928","-7.6314271e-03","normal"
"-4.078787264"," 1.1482143054","-0.9351023674"," 1.299307773"," 0.765041190","-0.297564188"," 0.237682029"," 1.2145229192","-0.0366500061","-0.30786498095"," 0.2658801021","-0.1482213115","-0.6168441160"," 0.03316096957","-0.1733822810","-0.026727549"," 0.1441085001","-0.0179188240"," 0.1072364152","-0.2132100050","-0.00304467321"," 0.10492316826","-0.06572240504"," 5.3402189e-03","normal"
"-1.940302518"," 2.9786677441","-0.9185013275"," 0.875294351"," 0.134529916"," 0.042412869","-0.438467856"," 0.0107827657"," 0.3469517706","-0.58103265418","-0.0140988901"," 0.3380931506","-0.0278500919"," 0.33567991204","-0.0086351996","-0.475473864"," 0.1727998349","-0.0563419847"," 0.0477732929"," 0.1023182073","-0.34313325193"," 0.01439732082"," 0.00103933902","-7.8500348e-03","normal"
"-2.002506355"," 2.2800180023","-1.1986358096"," 0.895107592","-0.028788497"," 0.204276176"," 0.563348814","-0.0048678992","-0.3327669568","-0.62209140173"," 0.4600840442"," 0.6137045183","-0.2400361065"," 0.08933184178","-0.2513114776","-0.444571677","-0.5626155423"," 0.1675556905"," 0.2117412896"," 0.1569894669","-0.27117260557"," 0.13467162925","-0.09773551195","-3.7860331e-03","normal"
"-3.268356826"," 0.4853276711"," 0.2729553571"," 0.812168296","-0.609654079","-0.444161100","-0.984405171"," 1.2885822725","-0.2952827060","-0.06433768930","-0.1197512009","-0.0502624985","-0.0273708930","-0.43363367719","-0.4319850593"," 0.372537590","-0.0437407295"," 0.0548542125"," 0.0274842423","-0.2256534252"," 0.04120630261"," 0.09941536507","-0.09605318430","-5.9661175e-03","normal"
"-3.299654915"," 0.1824638891"," 0.3687352440","-0.155611467","-1.596017947"," 0.183316383","-1.092560015","-0.4564424346","-0.1052278643","-0.02128056041","-0.2768831964","-0.1785460794","-0.1122023738","-0.15506083641"," 0.1017420650","-0.419994405","-0.1243524812"," 0.0690442948"," 0.0416984541","-0.0368795843","-0.04716502448"," 0.01916844971","-0.00234588681"," 9.2854065e-04","normal"
"-2.460669059"," 0.9028713045","-0.5063370437"," 1.047700467"," 0.618794930"," 0.167025974"," 0.050732516"," 0.2177464091","-0.1847686910"," 0.04239604605"," 0.5329461304"," 0.1187023684","-0.2014934313"," 0.11710427450"," 0.3948416929"," 0.053412629","-0.0057343966"," 0.1579249775"," 0.0363571174"," 0.0371625236"," 0.09324425287"," 0.20962451719","-0.04810815718","-5.4912790e-03","normal"
"-3.074357497","-2.2836946455","-2.7800227690","-0.408414636","-0.072640141","-0.983843256","-0.341439691"," 0.2067392104","-0.0846983480"," 0.16269658895"," 0.2770303601"," 0.0882606043"," 0.2022428383","-0.20170137063","-0.0447295456"," 0.050318199","-0.0340199350","-0.1772021035","-0.0821113038","-0.2275602911","-0.20310171484","-0.17194201754"," 0.09964069042"," 1.5486284e-03","normal"
"-1.027847304","-1.2556762793"," 0.6789934792","-0.201420733"," 0.341951881"," 0.264042372","-0.324171480"," 0.2371097889","-0.8085427716"," 0.46110761980","-0.0074966520","-0.3966607074","-0.5230408712","-0.33540517512"," 0.6340180290"," 0.769973307"," 0.4623723653"," 0.8273862599"," 0.0152317374","-0.1609951392","-0.47514057525","-0.04706281089"," 0.08660848292"," 1.0081968e-02","normal"
"-4.404144371","-2.3922696863"," 2.3550183763","-2.105352281","-1.999163079"," 0.369392469"," 0.199793443","-0.2979805049","-0.1762489410"," 0.02063635222","-0.1500043775","-0.6741669393"," 0.0221793481","-0.17356487055"," 0.8901195894","-0.405381952"," 0.6251604898","-0.0791823461"," 0.4486763024"," 0.2583026668"," 0.13995891332","-0.00568145999"," 0.08836170952","-1.5244066e-03","normal"
